Date,AdaniPorts,Ambuja,Apollo,AxisBank,Bajaj,BoB,Bata,BlueStar,Camlin,Castrol,Cipla,Deccan Gold,GreavesCotton,Fortis,Glenmark,GodfreyPhillips,Godrej,HCLTech,HDFCbank,Hindalco,HindustanPetrol,Imagica,Infosys,IRCTC,ITC,Kajaria,Kalyan,Linc,Lux,Max,AndhraPaper,Nerolac,ONGC,Panasonic,Patanjali,Timex,Raymond,Reliance,Siemens,SBI,SteelAuth,sunPharma,TataComm,TataSteel,Titan,Ultramarine,Wipro,Wonderla,YesBank,Nilkamal
04-Sep-23,802.05,433.9,384.05,992.6,1178,191,3116,745.15,151.1,142.05,1246.05,84.98,150,325.05,750.75,2131.85,538.05,1185,1583,477.25,250.55,56.71,1443,694.5,441.35,1446.3,245.8,661.65,1467.7,566.65,454.1,341,183.65,344.85,1237,165.7,2026.7,2410.05,3884.25,570.05,97.52,1110.05,1865.35,128.85,3116,443,417.05,621.65,17.4,2421.85
01-Sep-23,780,426.05,387.05,974,1181,187.2,3112,742,151,144.8,1266,83,151.4,328.1,766,2135.05,540.05,1173,1570,460.55,248.25,57,1430.05,672.25,439.65,1469.9,255.05,646.65,1476.85,590,446.25,336,174.3,335.05,1218.15,168.7,2015,2408,3923,563,91.06,1112.25,1796,123.35,3112,442.5,406.05,633.3,16.87,2457.7
31-Aug-23,802.65,442.95,392.05,982.9,1144.65,191.7,3078.4,744.95,152,143.05,1233.6,83.65,144.95,339.95,751.05,2152.55,518.55,1178,1581.95,461.8,257.85,57.55,1436,675,443.95,1489.95,233.05,677.95,1467.05,578.05,450.1,335,176,338,1222.5,171.4,1966.1,2420.05,3869,568.65,91.67,1111.05,1801.05,122.7,3078.4,426,407.05,634.75,16.86,2506.7
30-Aug-23,827,442.05,393.8,981.1,1127.35,191.75,3079,739.95,147.35,143.15,1231.05,85.89,145.5,338.95,750.05,2175,524.5,1165.95,1602.35,459.05,261.95,56.31,1419.25,673.05,440.35,1427.05,229.05,666.95,1433.95,560.05,452.55,334,175.95,336.05,1220.5,166.3,1965.75,2430.3,3865.2,575.3,88.61,1124.95,1787.15,120.15,3079,433.45,409.05,640.05,16.91,2363.6
29-Aug-23,808.05,438.65,391.7,991,1134,190.25,3050,730,145.6,145.2,1229.45,88.72,144.45,333.75,767.05,2109.05,528,1152,1590.15,447.05,263.55,56.7,1420,684,442.2,1494.95,221.05,628,1441.45,553.25,452.5,332.95,175.2,335.1,1248,172,1928.8,2447,3850.05,573.95,87.5,1123.55,1829.4,118.5,3050,434.95,409.05,633.75,16.81,2349.95
28-Aug-23,813.4,436.25,389.25,983,1125,190.05,3067.05,704,143.25,145.15,1209.45,90,133.8,330.2,731.2,2151.05,538.05,1154.7,1560,449.05,260.65,56.13,1416.05,658.05,445,1448.95,213.45,601.05,1458.9,553.45,456.65,324.5,174.85,339,1245.1,165,1920.25,2474,3780,573.4,85.7,1111.85,1817.55,116.95,3067.05,407.7,411.85,632.6,16.91,2326.7
25-Aug-23,823,448.95,392.05,976.95,1122.8,191,3059.95,725.1,145.55,141.1,1229.9,88,135.65,328.15,745.75,2204.95,536.2,1162.15,1576.95,454.9,265,56.99,1412.2,659.7,450.05,1462,215.15,602,1468.45,563.35,455.05,323.85,173.05,336.4,1250,167.8,1966,2454,3826.95,573.55,86.34,1117.1,1834.95,118,3059.95,398.7,409.95,640.15,16.93,2318.7
24-Aug-23,833.2,453.05,395.05,983.7,1157.75,193.4,3079.95,738.15,147.6,144.35,1232.95,86.43,137,324.05,753.05,2177.9,548,1190,1593.2,464.95,260.05,56.51,1418.65,651.05,453.8,1485.4,221.05,614.8,1487.05,581.1,447,324.95,175.5,344,1280.45,166.05,1989.95,2542,3700.15,577.6,86.76,1129.75,1821.3,119.4,3079.95,412.4,417.45,628,17.06,2372.05
23-Aug-23,859.95,463.55,392.8,960.6,1150.15,190.3,3070.05,736.8,146.95,145.55,1246.05,83.2,135.55,328,766.95,2170.05,490.05,1192.8,1581,455,262.9,57.4,1411.2,652.05,456,1485,224.1,640,1479.05,568.95,434,325.65,176.05,345,1290,170.95,1977.95,2527.95,3687.95,571,86.02,1130,1794.2,117.65,3070.05,417.75,415.05,647.3,17.02,2380.05
22-Aug-23,865.35,469.35,398.65,953,1113.05,191.2,3078.65,736.7,147.45,147.05,1238.75,85.89,133.9,321.15,776.9,2161.05,498.95,1184.65,1596.4,449.4,262.2,58.04,1405.1,653.95,448.95,1488.75,220.75,625.1,1493.25,555.95,438,328.4,175.6,342.95,1299.8,171,1921.05,2518.25,3666.9,571.6,86.11,1139.9,1705.65,117.05,3078.65,400.85,414.4,642.7,16.94,2375.85
